[SYNCPILOT | CPU  1] Layer 7 memproses Frame  15 | Waktu: 0.04056 detik
[SYNCPILOT | CPU 19] Layer 5 memproses Frame  22 | Waktu: 0.00309 detik
[SYNCPILOT | CPU 18] Layer 2 memproses Frame  24 | Waktu: 0.01005 detik
[SYNCPILOT | CPU 17] Layer 4 memproses Frame  23 | Waktu: 0.00313 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  26 | Waktu: 0.00293 detik
[SYNCPILOT | CPU 19] Layer 6 memproses Frame  22 | Waktu: 0.00303 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  11 | Waktu: 0.06795 detik
[SYNCPILOT | CPU 18] Layer 3 memproses Frame  24 | Waktu: 0.00322 detik
[SYNCPILOT | CPU 17] Layer 5 memproses Frame  23 | Waktu: 0.00307 detik
[SYNCPILOT | CPU 15] Layer 2 memproses Frame  25 | Waktu: 0.00943 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  27 | Waktu: 0.00292 detik
[SYNCPILOT | CPU 18] Layer 4 memproses Frame  24 | Waktu: 0.00308 detik
[SYNCPILOT | CPU 17] Layer 6 memproses Frame  23 | Waktu: 0.00303 detik
[SYNCPILOT | CPU  9] Layer 8 memproses Frame   6 | Waktu: 0.07301 detik
[SYNCPILOT | CPU 15] Layer 3 memproses Frame  25 | Waktu: 0.00310 detik
[SYNCPILOT | CPU 18] Layer 5 memproses Frame  24 | Waktu: 0.00302 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  26 | Waktu: 0.00928 detik
[SYNCPILOT | CPU  9] Layer 1 memproses Frame  28 | Waktu: 0.00293 detik
[SYNCPILOT | CPU 15] Layer 4 memproses Frame  25 | Waktu: 0.00304 detik
[SYNCPILOT | CPU 18] Layer 6 memproses Frame  24 | Waktu: 0.00298 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  16 | Waktu: 0.07651 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  26 | Waktu: 0.00326 detik
[SYNCPILOT | CPU 15] Layer 5 memproses Frame  25 | Waktu: 0.00298 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  29 | Waktu: 0.00295 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  27 | Waktu: 0.01053 detik
[SYNCPILOT | CPU  8] Layer 8 memproses Frame   7 | Waktu: 0.07895 detik
[SYNCPILOT | CPU 15] Layer 6 memproses Frame  25 | Waktu: 0.00293 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  26 | Waktu: 0.00346 detik
[SYNCPILOT | CPU  8] Layer 1 memproses Frame  30 | Waktu: 0.00299 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  27 | Waktu: 0.00457 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  26 | Waktu: 0.00432 detik
[SYNCPILOT | CPU  9] Layer 2 memproses Frame  28 | Waktu: 0.01214 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  27 | Waktu: 0.00413 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  26 | Waktu: 0.00422 detik
[SYNCPILOT | CPU  9] Layer 3 memproses Frame  28 | Waktu: 0.00419 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  27 | Waktu: 0.00410 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  29 | Waktu: 0.01401 detik
[SYNCPILOT | CPU 17] Layer 7 memproses Frame  23 | Waktu: 0.02312 detik
[SYNCPILOT | CPU 19] Layer 7 memproses Frame  22 | Waktu: 0.02752 detik
[SYNCPILOT | CPU 16] Layer 7 memproses Frame  21 | Waktu: 0.03440 detik
[SYNCPILOT | CPU 15] Layer 7 memproses Frame  25 | Waktu: 0.01400 detik
[SYNCPILOT | CPU  9] Layer 4 memproses Frame  28 | Waktu: 0.00409 detik
[SYNCPILOT | CPU 18] Layer 7 memproses Frame  24 | Waktu: 0.01938 detik
