[SYNCPILOT | CPU  7] Layer 2 memproses Frame  33 | Waktu: 0.09168 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  33 | Waktu: 0.02185 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  34 | Waktu: 0.07477 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  35 | Waktu: 0.06747 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  36 | Waktu: 0.06989 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  33 | Waktu: 0.02273 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  34 | Waktu: 0.02204 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  35 | Waktu: 0.02083 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  36 | Waktu: 0.02066 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  33 | Waktu: 0.02076 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  34 | Waktu: 0.02072 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  35 | Waktu: 0.02055 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  33 | Waktu: 0.02146 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  36 | Waktu: 0.02259 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  34 | Waktu: 0.02204 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  35 | Waktu: 0.02472 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  36 | Waktu: 0.03020 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  34 | Waktu: 0.02949 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  35 | Waktu: 0.03465 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  36 | Waktu: 0.03577 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  33 | Waktu: 0.13049 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  34 | Waktu: 0.11517 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  35 | Waktu: 0.10845 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  36 | Waktu: 0.09563 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  33 | Waktu: 0.19295 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  37 | Waktu: 0.01650 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  34 | Waktu: 0.19919 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  35 | Waktu: 0.19595 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  38 | Waktu: 0.01295 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  36 | Waktu: 0.19757 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  39 | Waktu: 0.01308 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  40 | Waktu: 0.01380 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  37 | Waktu: 0.05587 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  37 | Waktu: 0.02060 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  38 | Waktu: 0.06204 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  39 | Waktu: 0.07003 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  37 | Waktu: 0.02276 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  38 | Waktu: 0.02237 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  40 | Waktu: 0.07173 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  39 | Waktu: 0.02157 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  37 | Waktu: 0.02099 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  38 | Waktu: 0.02143 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  40 | Waktu: 0.02194 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  39 | Waktu: 0.02461 detik
